Country,Rank,Ladder score,upperwhisker,lowerwhisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Age Below 30 Score,Age Above 60 Score,Age 30-44 Score,Age 45-59 Score
Finland,1,7.741,7.815,7.667,1.844,1.572,0.695,0.859,0.142,0.546,2.082,7.3,7.912,7.883800107,7.868199893
Denmark,2,7.583,7.665,7.5,1.908,1.52,0.699,0.823,0.204,0.548,1.881,7.329,7.916,7.540259903,7.546740097
Iceland,3,7.525,7.618,7.433,1.881,1.617,0.718,0.819,0.258,0.182,2.05,7.598,7.585,7.456011659,7.460988341
Sweden,4,7.344,7.422,7.267,1.878,1.501,0.724,0.838,0.221,0.524,1.658,7.026,7.588,7.372879639,7.389120361
Israel,5,7.341,7.405,7.277,1.803,1.513,0.74,0.641,0.153,0.193,2.298,7.667,6.854,7.423065603,7.419934397
Netherlands,6,7.319,7.383,7.256,1.901,1.462,0.706,0.725,0.247,0.372,1.906,7.248,7.36,7.324718845,7.343281155
Norway,7,7.302,7.389,7.215,1.952,1.517,0.704,0.835,0.224,0.484,1.586,6.995,7.66,7.27581196,7.27718804
Luxembourg,8,7.122,7.213,7.031,2.141,1.355,0.708,0.801,0.146,0.432,1.54,7.301,7.214,6.987352893,6.985647107
Switzerland,9,7.06,7.147,6.973,1.97,1.425,0.747,0.759,0.173,0.498,1.488,7.138,7.084,7.004730825,7.013269175
Australia,10,7.057,7.141,6.973,1.854,1.461,0.692,0.756,0.225,0.323,1.745,7.013,7.304,6.957316665,6.953683335
New Zealand,11,7.029,7.105,6.954,1.81,1.527,0.673,0.746,0.226,0.48,1.567,6.859,7.39,6.924110005,6.942889995
Costa Rica,12,6.955,7.051,6.86,1.561,1.373,0.661,0.797,0.109,0.123,2.333,7.15,6.932,6.859746964,6.878253036
Kuwait,13,6.951,7.06,6.843,1.845,1.364,0.661,0.827,0.2,0.172,1.884,7.104,7.154,6.779452011,6.766547989
Austria,14,6.905,6.986,6.824,1.885,1.336,0.696,0.703,0.214,0.305,1.766,7.142,6.939,6.766703813,6.772296187
